Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients
Oats Poha,9,"North,East,West",Breakfast,Veg,no-allergies,2 small bowl,395,255,9,38,7,8,0.471,Chillies-15 gms; ; Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Oats-150 gms;Onion-125 gms; Red chilli Powder-15 gms; Lemon-15 gms; Olive oil-15 gms
Non-veg Platter (Chicken),6,"North,East,West","Lunch,Dinner",Non-veg,no-allergies,3 number,701,73,7,5,3,4,0.7068,Common salt-15 gms; Black pepper-15 gms; Spinach-250 gms; Lettuce Leaf-250 gms; CUCUMBER-70 gms; VINEGAR-15 gms; Chicken-75 gms; Chillies-7 gms; Garlic-4 gms
Multigrain Paratha,1,"North,East,West",Breakfast,Veg,no-allergies,1 medium,375,448,16,74,10,7,0.30575,Wheat-62 gms; Common salt-15 gms; Cooking oil-15 gms; Cumin Powder-4 gms; Oats Flour-200 gms; TURMERIC-4 gms; Besan-75 gms
Methi Thepla,1,"North,West","Breakfast,Lunch,Dinner",Veg,no-allergies,1 medium,449,76,33,174,10,14,0.2802,Wheat-250 gms; Fenugreek leaves-125 gms; Turmeric powder-7 gms; Common salt-7 gms; Cooking oil-15 gms; Red chilli Powder-15 gms; Coriander Powder-15 gms; Cumin Powder-15 gms
Baba Ganoush with Hummus,0,Continental,Appetizer,Veg,no-allergies,1 medium,305,243,7,11,17,13,0.2568,Brinjal-200 gms; Garlic-2 gms; Lemon-30 gms; Cooking oil-15 gms; Common salt-15 gms; Black pepper-15 gms;Parsley-4 gms; Cumin seeds -24 gms
Aloo Curry,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 small bowl,482,490,8,75,16,9,0.4747,POTATO-200 gms; Onion-75 gms; Tomato-120 gms; Coriander leaves-15 gms; Turmeric powder-15 gms; Fenugreek leaves-0.5 gms; Common salt-7 gms; Cooking oil-15 gms; Chillies-15 gms; Coriander seeds-15 gms
Kale Chips,11,Continental,Snacks,Veg,no-allergies,3 number,180,39,2,5,2,1,0.1665,Cooking oil-15 gms; Common salt-15 gms; Kale-150 gms
Jau Wrap,0,"North,East,West","Breakfast,Lunch,Dinner",Veg,no-allergies,1 number,392,591,17,99,12,21,0.395,Onion-75 gms; Capsicum-10 gms; carrot-10 gms; Common salt-7 gms; Cooking oil-7 gms; CABBAGE-75 gms; Turmeric powder-7 gms; Cumin seeds-7 gms; Besan-30 gms; Barley Flour-150 gms; CORIANDER LEAVES-7 gms; Coriander Powder-7 gms
JAWAR WRAP,0,"North,East,West","Breakfast,Lunch,Dinner",Veg,no-allergies,3 number,80,112,3,18,0,3,0.0636,Onion-15 gms; Capsicum-2 gms; carrot-1 gms; Common salt-15 gms; Cooking oil-7 gms; Jowar-40 gms
GRILLED PINEAPPLE/ APPLE,6,Continental,Appetizer,Veg,no-allergies,4 number,116,7,0,2,0,0,0.1242,Pineapple-75 gms; HONEY-15 gms; Cinnamon-15 gms; Common salt-7 gms; Ginger-4 gms
Mixed Veg Soup,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,871,130,5,24,0,8,0.5793,Onion-62 gms;Garlic-30 gms; carrot-150 gms; Celery-150 gms; Cabbage-150 gms; Beans-150 gms; Tomato-150 gms; Peas-15 gms; Common salt-7 gms; Black pepper-7 gms
Veg Clear Soup,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,1154,179,6,18,10,7,1.23665,carrot-150 gms; Celery-150 gms; Onion-150 gms; Beans-150 gms; Peas-15 gms; MUSHROOM-150 gms; Capsicum-150 gms; Garlic-7 gms; soya sauce-15 gms; Parsley-15 gms; Common salt-15 gms; Black pepper-7 gms; Onion-150 gms; Olive oil-15 gms; Sesame Oil-15 gms
Soupy Noodles,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,394,96,5,18,0,4,0.2848,carrot-100 gms; Onion-75 gms; Zucchini-50 gms; Peas-25 gms; Cabbage-75 gms; MUSHROOM-50 gms;Garlic-4 gms; VINEGAR-15 gms
Spinach Soup,0,Continental,Appetizer,Veg,no-allergies,1 small bowl,638,98,3,16,0,3,0.2648,Spinach-62 gms; Onion-150 gms; Garlic-15 gms; POTATO-75 gms; Celery-150 gms; carrot-150 gms; Common salt-7 gms; Black pepper-7 gms; Lemon-15 gms; Cumin seeds-7 gms
Sweet Corn Kernels,0,Continental,Snacks,Veg,no-allergies,1 medium bowl,223,96,2,17,0,5,0.1459,Onion-75 gms; Garlic-15 gms; carrot-75 gms; Peas-15 gms; Common salt-7 gms; Black pepper-7 gms; Lemon-15 gms;Parsley-7 gms; Cumin seeds-7 gms
Vegetable Oats Soup,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,276,194,6,35,2,6,0.2076,Onion-75 gms; Garlic-2 gms; carrot-30 gms; Celery-25 gms; Capsicum-50 gms; Zucchini-50 gms; OATMEAL-30 gms; Common salt-7 gms; Black pepper-7 gms
Green Salad,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 small bowl,283,45,3,7,0,5,0.10975,Lettuce Leaf-75 gms; Spinach-75 gms; Cabbage-62 gms; CUCUMBER-50 gms; VINEGAR-7 gms; Common salt-7 gms; Black pepper-7 gms
Green Papaya Salad,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 small bowl,432,82,3,18,0,3,0.3259,PAPAYA-250 gms; Beans-100 gms; carrot-60 gms;Garlic-7 gms; Lemon-15 gms
Quinoa Soup,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,237,255,7,34,9,8,0.2928,Quinoa-62 gms; carrot-50 gms; Onion-75 gms; Garlic-7 gms; Common salt-4 gms; Olive oil-24 gms; Celery-15 gms
Pasta salad,0,Continental,Appetizer,Veg,no-allergies,1 small bowl,606,29,0,5,0,3,0.3914,"CUCUMBER-150 gms; Capsicum-200 gms;Parsley-7 gms;Garlic-15 gms; Common salt-7 gms; Black pepper-7 gms, Pasta-150 gms, Tomato-70 gms"
"Pomegranate, Avocado, Grapes & Zucchini salad",0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,483,167,4,18,7,7,0.3788,Zucchini-62 gms; Grapes-62 gms; Avocado-150 gms; POMEGRANATE-150 gms;Mint leaves-15 gms; Lemon-15 gms; Common salt-7 gms; Black pepper-7 gms; Olive oil-15 gms
Quinoa and chicken salad,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,516,481,29,59,12,18,0.9121,Quinoa-100 gms; Chicken-70 gms; Common salt-7 gms; Black pepper-7 gms; Capsicum-150 gms; CUCUMBER-150 gms; Parsley-15 gms; Lemon-15 gms;Garlic-2 gms
Methi matar Vegetable,2,"North,East,West",Dry Curry,Veg,no-allergies,1 small bowl,489,210,11,20,7,13,0.4845,Fenugreek leaves-150 gms; Peas-75 gms; Tomato-120 gms; Onion-75 gms; Chillies-7 gms; Cumin powder-4 gms; Mustard seeds-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Garlic-7 gms; Ginger-7 gms; Chillies-7 gms; Coriander seeds-7 gms
Mooli Methi Vegetable,2,"North,East,West",Dry Curry,Veg,no-allergies,1 small bowl,680,196,10,16,7,16,0.4531,Radish-150 gms; Fenugreek leaves-300 gms; Tomato-75 gms; Onion-75 gms; Chillies-7 gms; Cumin powder-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Coriander leaves-15 gms; Garlic-7 gms; Ginger-7 gms; Chillies-7 gms; Coriander seeds-7 gms
