Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients
Millets (Little) (Pulav),3,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,796,503,25,94,1,20,0.4827,Garlic-1 gms; carrot-250 gms; Onion-250 gms; Peas-250 gms; Cumin seeds-15 gms; Common salt-15 gms; Black pepper-15 gms
Quinoa Khichdi,3,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,118,307,12,40,9,13,0.1927,Quinoa-50 gms; Dal-20 gms; Cooking oil-5 gms; Cumin seeds-7 gms; Mustard seeds-7 gms; Turmeric powder-7 gms; Coriander seeds-7 gms; Common salt-15 gms
Quinoa Pulao,3,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,401,411,17,61,8,20,0.405,Quinoa-50 gms; carrot-100 gms; Peas-100 gms; Beans-100 gms; Cooking oil-15 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Coriander seeds-7 gms; Common salt-15 gms
Ragi Dalia,0,South,"Lunch,Dinner",Veg,no-allergies,1 small bowl,628,411,7,52,19,9,0.7422,Cumin seeds-7 gms; Chillies-4 gms; Cooking oil-15 gms; Onion-125 gms; Tomato-120 gms; dalia-350 gms; Common salt-7 gms
Cooked Arhar dal,"2,8","North,East,West","Dry Curry, Gravy",Veg,no-allergies,1 medium katori,282,184,6,21,8,4,0.1962,Turmeric powder-4 gms; Common salt-15 gms; Cooking oil-7 gms; Mustard seeds-4 gms; Cumin seeds-4 gms; Ginger-0.25 gms; Garlic-1 gms; Tomato-62.5 gms; Onion-62 gms; Coriander leaves-5 gms; Dal-150 gms
Chicken frittata,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium katori,170,138,14,4,5,2,0.554,Chicken-60 gms; Egg-20 gms; Capsicum-20 gms; Onion-20 gms; Spinach-20 gms; Common salt-15 gms; Black pepper-15 gms
Roasted Fish,8,South,Gravy,Non-veg,no-allergies,3 number,99,41,5,1,2,1,0.3335,Lemon-1 gms; Common salt-15 gms; Black pepper-15 gms; Garlic-3 gms; Parsley-5 gms; Salmon-60 gms
Masala Fish,8,"North,East,West",Gravy,Non-veg,no-allergies,2 number,139,114,8,6,7,4,0.3889,Salmon-20 gms; Onion-10 gms; Ginger-7 gms; Garlic-7 gms; Turmeric powder-15 gms; Chillies-15 gms; Cumin seeds-15 gms; Coriander seeds-15 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-5 gms
Ghiya Vegetable (gravy),2,"North,East,West",Dry Curry,Veg,no-allergies,1 medium katori,819,114,1,10,5,5,0.4675,BOTTLE GOURD-500 gms; Tomato-90 gms; Onion-160 gms ; Cumin seeds-4 gms; Turmeric powder-7 gms; Chillies-4 gms; Coriander seeds-4 gms; Ginger-15 gms; Common salt-15 gms; Mustard oil-15 gms; Coriander leaves-5 gms
Thai Salad with Coconut Lime Dressing,0,Continental,Appetizer,Veg,no-allergies,1 small bowl,149,112,3,8,6,3,0.1749,Zucchini-10 gms; Capsicum-20 gms; Cabbage-1- gms; Lettuce Leaf-30 gms; COCONUT milk-15 gms; Lemon-15 gms; Coriander leaves-15 gms; Garlic-7 gms; Ginger-7 gms; Common salt-15 gms; Black pepper-15 gms
Chicken Greek Salad,0,Continental,Appetizer,Non-veg,no-allergies,1 small bowl,83,152,15,9,5,6,0.0897,Chicken-1 gms; Garlic-7 gms; Common salt-15 gms; Black pepper-15 gms; CUCUMBER-1 gms; Tomato-1 gms; Capsicum-1 gms; Lettuce Leaf-30 gms; Lemon-5 gms; Garlic-7 gms
Lettuce Avocado Salad,0,Continental,Appetizer,Veg,no-allergies,1 small bowl,57,128,4,9,7,6,0.1077,Lettuce leaf-1 gms; Avocado-1 gms; CUCUMBER-1 gms; Yoghurt-10 gms; Lemon-5 gms; Coriander leaves-2 gms; Cumin seeds-7 gms; Common salt-15 gms; Black pepper-15 gms
Almond coriander soup,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,216,157,3,4,14,2,0.1964,Coriander leaves-10 gms; Ginger-1 gms; Common salt-4 gms; Onion-150 gms; Black pepper-0.25 gms; Olive oil-15 gms; Almond-11 gms
Lemon rice soup,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,101,239,7,42,3,6,0.2375,Mustard seeds-5 gms; Cumin seeds-5 gms; Ginger-1 gms; Curry leaves-10 gms; Lemon-15 gms; Common salt-15 gms; Rice-50 gms
Rice flour laddu,0,South,Snacks,Veg,no-allergies,4 gms,305,331,6,52,11,3,1.0385,Rice-250 gms; COCONUT-50 gms; Cardamom-5 gms; Ghee-10 ml
Thekua,0,East,Snacks,Veg,no-allergies,15 gms,386,91,2,15,2,2,0.368,Atta-300 gms; Jaggery-40 gms; Cardamom-16 gms; Ghee-30 gms
Oats milk,12,"North,South,East,West",Beverages,Veg,no-allergies,3 glass,94,114,4,20,2,3,0.0004,Rolled Oats-90 gms; Common salt-4 gms
Cooked Foxtail Millets,0,South,"Lunch,Dinner",Veg,no-allergies,1 medium katori,150,150,0,0,0,0,0,Millets-150 gms
Cooked kuddo Millets,0,South,"Lunch,Dinner",Veg,no-allergies,1 medium katori,150,43,1,9,0,1,0,Millets-150 gms
Rice Noodles,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium katori,165,59,1,6,3,1,0.6015,Rice Noodles-150 gms; ; Common salt-15 gms
MILLET CHEELA,1,"North,West,East","Lunch,Dinner",Veg,no-allergies,1 small bowl,128,119,1,15,4,2,0.0937,Millets-45 gms; Onion-62.5 gms; carrot-40 gms; Spinach-37.5 gms; CORIANDER LEAVES-37.5 gms; Chillies-7 gms; Cumin seeds-7 gms; Cooking oil-7 gms; Common salt-7 gms
Quinoa Cheela,1,"North,East,West",Breakfast,Veg,no-allergies,1 medium,443,517,17,81,12,10,0.6623,Onion-15 gms; Capsicum-15 gms; carrot-15 gms; Coriander leaves-7 gms; Cumin seeds-4 gms; Chillies-7 gms; Cooking oil-15 gms; Common salt-15 gms; Quinoa-350 gms
Oats Dalia,3,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,119,107,2,9,6,6,0.19675,Onion-15 gms; Peas-15 gms; carrot-15 gms; Beans-15 gms; Cumin seeds-15 gms; Turmeric powder-7 gms; Chillies-7 gms; Cooking oil-15 gms; Common salt-15 gms
Dal Tikki,6,"North,East,West","Lunch,Dinner",Veg,no-allergies,2 number,356,143,3,10,10,3,0.26655,Channa Dal-125 gms; POTATO-175 gms; Coriander leaves-7 gms; MANGO POWDER-7 gms; Cumin seeds-4 gms; Coriander seeds-4 gms; Chillies powder-4 gms; Common salt-15 gms; Cooking oil-15 gms
"Tea (ginger, Tulsi, cardamon, cinnamon sticks, black pepper)",12,"North,South,East,West",Beverages,Veg,no-allergies,1 cup,910,369,14,31,21,0,2.52,Ginger-35 gms; Milk-875 gms
Spinach Salad,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,184,209,2,9,21,2,0.1677,SPINACH-50 gms; CUCUMBER-20 gms; Sunflower Seeds-10 g; Pumpkin Seeds-30 gms; Lemon-15 gms; Common salt-7 gms; Black pepper-7 gms; Onion-62.5 gms; Tomato-45 gms; Olive oil-7.5 gms
JAWAR STUFFED ROTI (Aloo),1,"North,West","Lunch,Dinner",Veg,no-allergies,1 medium,52,57,0,2,5,0,0.0688,Onion-15 gms; Coriander leaves-7 gms; Cooking oil-15 gms; Common salt-15 gms
Aam Ras,10,"North,South,East,West",Beverages,Veg,no-allergies,1 glass,400,208,7,26,8,1,0.8275,MANGO-150 gms; Milk-250 gms
Lemon Coriander Soup,0,Continental,Appetizer,Veg,no-allergies,4 cup,111,20,0,1,2,1,0.1907,Coriander leaves-15 gms; Ginger-1 gms; Garlic-1 gms; Common salt-15 gms; Lemon-15 gms; Olive oil-15 gms; Onion-31.25 gms; Coriander Powder -24 gms
chicken stew,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,4 tbsp,92,34,3,2,1,0,0.3862,Chicken-62 gms; POTATO-87.5 gms; carrot-20 gms; Peas-37.5 gms
moong dal puree,10,"North,East,West",Breakfast,Veg,no-allergies,4 small katori,705,84,2,8,5,1,0.603,Moong Dal-150 gms; carrot-60 gms; POTATO-175 gms; TOMATO-90 gms; Onion-125 gms; Garlic-15 gms; Ginger-15 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Olive oil-15 gms
Rice Dosa,14,South,Breakfast,Veg,no-allergies,1 medium,24,144,5,30,0,1,0.01165,Urad Dal Flour-15 gms; Rice Flour-37.5 gms; Common salt-4 gms
Quinoa Cutlet,6,Continental,Appetizer,Veg,no-allergies,1 medium,279,184,3,27,9,1,0.20375,Quinoa-75 gms; POTATO-87.5; carrot-60 gms; Beans-15 gms; Coriander leaves-7 gms; Ginger-0.25 gms; Cumin seeds-4 gms; Red chilli Powder-7 gms; Common salt-7 gms; Olive oil-3.75 gms; Garlic powder-4 gms
Broccoli with mix bell pepper Vegetable,0,Continental,Appetizer,Veg,no-allergies,1 medium katori,732,929,34,102,37,67,1.1739,Broccoli-200 gms; Capsicum-150 gms; Babycorn-100 gms; Tofu-250 gms; Black pepper-10 tbsp; Onion;Garlic-2 gms; Olive oil-15 gms; Common salt-15 gms
Ragi Flour Cheela,1,South,"Lunch,Dinner",Veg,no-allergies,1 medium,169,370,5,50,15,4,0.2712,RAGI-60 gms; Onion-30 gms; TOMATO-30 gms; Capsicum-30 gms; Cumin seeds-2 gms; Common salt-2 gms; Olive oil-15 gms
Rice Flour Cheela,1,"South,East,West","Lunch,Dinner",Veg,no-allergies,1 medium,211,259,2,25,15,1,0.6626,Rice Flour-150 gms; Cumin seeds-10 gms; CORIANDER-10 gms; Turmeric powder-10 gms; Red chilli Powder-15 gms; Common salt-1 gms; Olive oil-15 gms
Vegetable Juice(Cucumber+Ghiya+1 Carrot),10,"North,South,East,West",Beverages,Veg,no-allergies,1 medium bowl,95,67,3,13,0,5,0.0345,CUCUMBER-20 gms; Bottle gourd-15 gms; Carrot-60 gms
"Veg Shredded,Green Peas Mushroom Vegetable",0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium katori,1113,360,13,46,11,12,1.5138,CABBAGE-250 gms; carrot-250 gms; Peas-250 gms; MUSHROOM-250 gms; Onion-1 gms; Garlic powder-15 gms; Cumin seeds-15 gms; CORIANDER-15 gms; Turmeric powder-7 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-30 gms
Lemon Rice Soup With Red Rice,0,Continental,"Lunch,Dinner",Veg,no-allergies,4 small bowl,1647,154,2,19,10,2,0.3401,Rice-1200gms; Onion-125 gms; Garlic-15 gms; carrot-125 gms; Olive oil-30 gms; Celery-62 gms; Lemon-90 gms
Baingan Vegetable,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 medium bowl,346,278,9,39,6,16,0.4495,TOMATO-150 gms; Onion-125 gms; Cloves-1 gms; Cumin seeds-1 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; CORIANDER-24 gms; Olive oil-15 gms
Millets Cheela,1,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium,271,233,3,20,16,3,0.2116,Millets-150 gms; CARROT-30 gms; Onion-30 gms; Capsicum-30 gms; Cumin seeds-15 gms; Common salt-1 gms; Olive oil-15 gms
Ragi Soup,0,South,Appetizer,Veg,no-allergies,2 medium bowl,543,230,4,34,8,4,0.4658,Onion-300 gms;Garlic-10 gms; carrot-60 gms; Celery-17 gms; Coriander seeds-15 gms; Cumin seeds-15 gms; Turmeric powder-4 gms; Olive oil-15 gms; Common salt-7 gms; Ragi flour-100 gms
Fish Salad 1,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,530,378,37,14,17,4,1.226,Fish-170 gms; Onion-60 gms; Tomato-90 gms; CUCUMBER-150 gms; Lemon-15 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms; Olive oil-15 gms; CORIANDER LEAVES-10 gms
Rice Flour Wrap with Chicken and Veggies,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,4 medium,622,330,13,40,12,5,2.0184,Rice Flour-150 gms; Common salt-15 gms; Olive oil-15 gms; Chicken-150 gms; Onion-1 gms; Capsicum-201 gms; Ginger-15 gms; Garlic powder-15 gms; CORIANDER-15 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms
Masoor Dal Sambar,13,South,"Breakfast,Lunch,Dinner",Veg,no-allergies,4 small bowl,890,157,5,14,9,5,0.78325,Masoor Dal-300 gms; carrot-87.5 gms; Beans-150 gms; Drumstick-62 gms; Olive oil-30 gms; Cumin seeds-15 gms; Fenugreek seeds-15 gms; Onion-125 gms; Turmeric powder-7 gms; Common salt-7 gms; Coriander leaves-7 gms; Tamarind-15 gms; Sambar Powder-15 gms; Brinjal-137 gms
Moong Dal Tikki,6,"North,East,West",Appetizer,Veg,no-allergies,6 number,945,118,4,15,5,2,0.769,Moong Dal-350 gms; POTATO-375 gms; Onion-125 gms; Chillies-30 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Olive oil-30 gms; Common salt-15 gms
Oatmeal,9,Continental,Breakfast,Veg,no-allergies,1 medium bowl,586,375,8,18,27,6,0.9425,Oats-150 gms; Almond Milk-200 gms; Apple-200 gms; Blueberries-10 gms; Walnut-11 gms; Cinnamon-15 gms
Boiled Aloo Chat,11,"North,East,West",Snacks,Veg,no-allergies,1 medium bowl,255,176,2,29,5,1,0.261,POTATO-150 gms; Cumin seeds-15 gms; Red chilli Powder-15 gms; Chat Masala-15 gms; Common salt-15 gms; Lemon-15 gms; Coriander leaves-15 gms; Olive oil-15 gms
Saunf Ajwain Water,10,"North,South,East,West",Beverages,Veg,no-allergies,1 glass,30,7,0,1,0,1,0.066,Saunf-15 gms; Ajwain-15 gms
Red Rice,3,Continental,"Lunch,Dinner",Veg,no-allergies,4 small katori,180,46,1,10,0,1,0.6075,Rice-150 gms; Common salt-15 gms; Coriander leaves-15 gms
Saunf Elaichi Water,10,"North,South,East,West",Beverages,Veg,no-allergies,4 cup,45,13,0,2,0,1,0.1095,Saunf-15 gms; cardamom-15 gms; Jaggery-15 gms
Classic Avocado Salad,0,Continental,"Lunch,Dinner",Veg,no-allergies,2 medium katori,615,597,13,25,51,11,0.411,Avacado-300 gms; Tomato-90 gms; Onion-150 gms; Olive oil-30 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms
Corn Avocado Salad,0,Continental,"Lunch,Dinner",Veg,no-allergies,2 medium katori,1281,748,16,41,59,18,0.3832,Babycorn-350 gms; Avacado-700 gms; Capsicum-37 gms; Onion-125 gms; Lemon-15 gms; Olive oil-15 gms; Common salt-15 gms; Black pepper-24 gms
Spinach Vegetable,2,"North,South,East,West",Dry Curry,Veg,no-allergies,4 cup,785,71,2,14,0,2,0.574,SPINACH-250 gms; POTATO-300 gms;Onion-125 gms; Cloves-30 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Spinach Vegetable 2,2,"North,South,East,West",Dry Curry,Veg,no-allergies,4 small katori,512,37,1,5,1,2,0.4215,Spinach-150 gms; Potato-150 gms;Onion-125 gms;Garlic-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Red chilli Powder-7 gms; Common salt-15 gms; Olive oil-30 gms
Upma,9,South,Breakfast,Veg,no-allergies,4 small katori,935,64,3,8,2,3,0.74725,Semolina-150 gms;Onion-125 gms; Peas-150 gms; carrot-250 gms; Beans-150 gms; Cumin seeds-15 gms; Gram dal-37.5 gms; Channa Dal-15 gms; Asafoetida-15 gms; Common salt-15 gms; Olive oil-15 gms; Lemon-15 gms; Coriander leaves-15 gms
"Dhaniya Jeera, Saunf Water",10,"North,South,East,West",Beverages,Veg,no-allergies,1 glass,35,3,0,0,0,0,0.105,Coriander seeds-15 gms; Cumin seeds-15 gms;Fennel Seeds-5 gms
Shredded Chicken Breast Dry Gravy,8,Continental,Gravy,Non-veg,no-allergies,1 medium katori,450,632,90,26,15,3,1.324,Chicken-150 gms; Onion-160 gms; Garlic-30 gms; Chillies-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-15 gms
"Arugula Salad(cheery tomato,carrot,cucumber and radish)",0,Continental,Appetizer,Veg,no-allergies,2 large bowl,995,112,2,8,8,3,1.3975,CUCUMBER-150 gms; Cherry Tomato-150 gms; carrot-150 gms; Radish-150 gms; Arugula Leaves-150 gms; Lemon-15 gms; Olive oil-165 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms
"Baby Spinach salad(cherry tomato,carrot,cucumber and radish)",0,Continental,Appetizer,Veg,no-allergies,2 large bowl,1155,116,2,9,8,4,1.4925,Cucumber-200 gms; Cherry Tomato-150 gms; carrot-150 gms; Radish-150 gms; Spinach-250 gms; Lemon-15 gms; Olive oil-165 gms; Cumin seeds-15 gms; Coriander Powder-30 gms; Turmeric powder-15 gms; Common salt-15 gms
"lettuce salad(cheery tomato,carrot,cucumber and radish)",0,Continental,Appetizer,Veg,no-allergies,2 large katori,877,102,2,7,8,3,1.3591,Cucumber-100 gms; Cherry Tomato-187 gms; carrot-60 gms; Radish-150 gms; Lettuce leaf-150 gms; Olive oil-165 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms
Gobhi Gajar Matar Without Oil,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 small katori,770,577,24,53,29,37,0.6275,Cauliflower-250 gms; carrot-150 gms; Peas-150 gms; Onion-125 gms; Chillies-15 gms; Cumin seeds-15 gms; Ginger powder-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Gobhi Gajar Matar With Oil,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 medium katori,785,486,22,53,18,34,0.69,Cauliflower-150 gms; carrot-150 gms; Peas-250 gms;Onion-125 gms; Chillies-15 gms; Red chilli Powder-15 gms; Cumin seeds-15 gms; Ginger powder-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Grilled Basa Fish,8,Continental,Gravy,Non-veg,no-allergies,1 number,212,315,20,4,24,3,0.882,Turmeric powder-7 gms; Red chilli Powder-15 gms; Garam Masala-15 gms; Coriander Powder-5 gms; Common salt-15 gms; Lemon-15 gms; Olive oil-15 gms; Fish-125 gms
"Cucumber ,Onion,Tomato and Carrot Salad",0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 medium katori,500,40,0,8,0,2,0.264,Cucumber-200 gms; Onion-15 gms; Tomato-90 gms; carrot-150 gms; Coriander leaves-15 gms; Common salt-15 gms; Lemon-15 gms
"Vegetable smoothie (cucumber,carrot,beetroot and apple)",12,Continental,Beverages,Veg,no-allergies,2 glass,801,72,2,14,1,4,0.2668,Cucumber-200 gms; carrot-250 gms; Beetroot-136 gms; Apples-200 gms; Lemon-15 gms
Baigan Bharta,2,"North,East,West,South",Dry Curry,Veg,no-allergies,4 small bowl,775,45,1,7,1,3,0.8525,Onion-125 gms; Chillies-15 gms; Cumin seeds-15 gms; Ginger powder-15 gms; Garlic powder-15 gms; Turmeric powder-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms; Common salt-15 gms; Tomato-250 gms; Eggplant-250 gms; Coriander leaves-15 gms
Jowar Cheela,1,"North,West,East,South","Lunch,Dinner,Breakfast",Veg,no-allergies,1 medium,885,536,17,93,9,21,0.6195,Jowar-250 gms; carrot-250 gms;Onion-160 gms; Coriander leaves-150 gms; Cumin seeds-30 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms  
Brinjal Vegetable,2,"North,South",Dry Curry,Veg,no-allergies,1 medium katori,645,247,10,33,2,19,0.6565,Brinjal-150 gms;Onion-160 gms; Tomato-240 gms; Ginger powder-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-15 gms
Fenugreek Vegetable,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium katori,585,229,10,28,8,17,0.645,Fenugreek leaves-250 gms;Onion-125 gms; Tomato-90 gms; Olive oil-15 gms; Cumin seeds-15 gms; Ginger powder-15 gms; Garlic powder-15 gms; Coriander Powder-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms
Roasted Vegetable,0,"North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,625,873,27,140,19,47,0.4332,Sweet potato-250 gms; Brussels sprouts-150 gms; carrot-150 gms; Olive oil-15 gms; Thyme-15 gms; Rosemary-15 gms; Garlic powder-15 gms; Common salt-15 gms
Mixed Vegetable Bhaji,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 cup,1450,1254,56,142,60,32,1.1685,Potato-350 gms; carrot-250 gms; Beans-250 gms; Peas-250 gms;Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Ginger powder-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Red chilli Powder-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-15 gms
Qunoia Flour Cheela,1,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium,641,703,20,92,27,12,0.6876,Quinoa Flour-150 gms; Onion-125 gms; Tomato-90 gms; Capsicum-201 gms; Chillies-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-15 gms
Steamed /Blanched Vegetable,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,1151,343,13,46,9,23,0.6553,Beetroot-136 gms; carrot-150 gms; Broccoli-150 gms; Cauliflower-250 gms; Spinach-150 gms; Onion-150 gms; Tomato-90 gms; Chillies-15 gms; Lemon-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Rasam,8,South,Gravy,Veg,no-allergies,1 medium bowl,181,47,0,7,1,1,0.34995,Tomato-90 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Fenugreek seeds-15 gms; Chillies-15 gms; Garlic-1 gms; Common salt-15 gms; Tamarind-15 gms
Kala Chana Sprouts,11,"North,West,South",Snacks,Veg,no-allergies,1 medium bowl,180,73,4,10,1,6,0.0825,Kala chana-150 gms; Lemon-15 gms; Common salt-15 gms
Sauteed Vegetables,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 cup,280,195,1,8,15,3,0.35475,Olive oil-15 gms;Garlic-15 gms; Onion-150 gms; Beans-15 gms; carrot-15 gms; Capsicum-5 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms
Pasta Salad,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 cup,1476,581,9,93,17,7,1.4766,Pasta-750 gms; Cherry Tomato-150 gms; CUCUMBER-150 gms; Onion-150 gms; Capsicum-201 gms;Parsley-15 gms; Lemon-30 gms; Olive oil-15 gms; Common salt-15 gms
Brown Rice Pulao,5,"North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,1022,548,13,82,16,10,1.717,Rice-150 gms; Onion-150 gms; carrot-150 gms; Peas-150 gms; Cumin seeds-15 gms; CLOVES-150 gms; Cinnamon-15 gms; CARDAMOM-2 gms; Ginger powder-15 gms; Garlic powder-15 gms; Chillies-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-15 gms; Corn Kernels-150 gms
Onion Masala Salad,0,"North,South,East,West",Appetizer,Veg,no-allergies,1 medium bowl,455,90,5,15,1,6,0.208,Onion-160 gms; Red chilli Powder-15 gms; Lemon-15 gms; Common salt-15 gms; Coriander leaves-250 gms
Dhaniya Chutney,7,"North,South,East,West,Continental","Appetizer,Snacks",Veg,no-allergies,1 tsp,202,54,5,4,2,7,0.1837,Coriander leaves-150 gms; Chillies-15 gms;Garlic-15 gms; Cumin seeds-15 gms; Common salt-7 gms; 
Salted Roasted Makhana,11,"North,East,West",Snacks,Veg,no-allergies,1 medium katori,280,322,8,62,5,0,0.404,Makhana-250 gms; Olive oil-15 gms; Common salt-15 gms
Chicken Do Pyaza,2,"North,East,West,South",Dry Curry,Non-veg,no-allergies,1 cup,500,1013,159,28,24,7,1.411,Chicken-150 gms; Onion-150 gms; Tomato-90 gms; Chillies-15 gms; Olive oil-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Chicken kebab,6,"North,East,West",Appetizer,Non-veg,no-allergies,1 medium bowl,305,1721,107,28,109,7,1.3825,Chicken-150 gms; Yoghurt-15 gms; Ginger powder-15 gms; Garlic powder-15 gms; Lemon-15 gms; Red chilli Powder-15 gms; TURMERIC-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Common salt-15 gms; Olive oil-15 gms
Green Chutney,7,"North,South,East,West,Continental","Appetizer,Snacks",Veg,no-allergies,1 medium katori,515,86,7,10,1,9,0.33,Coriander leaves-150 gms;Mint leaves-150 gms; Chillies-15 gms; Ginger powder-15 gms;Onion-125 gms; Cumin Powder-15 gms; Chat Masala-15 gms; Lemon-15 gms; Common salt-15 gms; 
Kali Masoor Chat,11,"North,East,West",Snacks,Veg,no-allergies,1 small katori,640,229,13,41,1,14,0.4095,Dal-150 gms;Onion-125 gms; Tomato-90 gms;Cucumber-200 gms; Chillies-15 gms; Lemon-15 gms; Chat Masala-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Chana Salad,0,"North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,890,414,25,63,8,35,0.601,Chickpeas-150 gms;Cucumber-200 gms; Tomato-90 gms;Onion-125 gms; Chillies-15 gms; Coriander leaves-250 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms; Cumin seeds-15 gms
Kala Chana Chat,11,"North,East,West",Snacks,Veg,no-allergies,1 medium katori,515,363,18,54,4,25,0.46125,Chickpeas-150 gms;Onion-125 gms; Tomato-120 gms; Chillies-15 gms; Coriander leaves-15 gms; Tamarind-15 gms;Mint leaves-15 gms; Chat Masala-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Lemon-15 gms
Spinach Chana Dal Cutlet,6,"North,East,West",Appetizer,Veg,no-allergies,1 medium bowl,420,573,22,69,24,22,0.4715,Spinach-150 gms;Onion-125 gms; Chillies-15 gms; Ginger powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms; Common salt-15 gms;Bread-50 gms; Olive oil-15 gms
Vegetable soup with Quinoa,0,Continental,Appetizer,Veg,no-allergies,1 medium katori,535,219,6,32,6,9,0.61825,Quinoa-150 gms;Onion-125 gms;Garlic-15 gms; carrot-150 gms; Beans-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Low-Fat Bajra Cheela,1,"North,West","Lunch,Dinner,Breakfast",Veg,no-allergies,1 medium,850,553,19,91,13,20,0.6075,Bajra flour-350 gms; Spinach-150 gms; Carrot-150 gms;Onion-125 gms; Coriander leaves-15 gms; Cumin seeds-15 gms; Coriander Powder-15 gms; Common salt-15 gms; Olive oil-15 gms
