code,name,tags
facis,Cis Fatty acids,total fat lipid profile good healthy tcfa cfa
fatrn,Trans Fatty acids,total fat lipid profile bad unhealthy harmful detrimental damaging trans ttfa tfa
olsac,Oligosaccharides,total polymer complex saccharide
phystr,Phytosterols,total plant sterol stanol phytosteroid natural plant steroid
mnrleq,Essential Quantity Minerals,total chemical inorganic element mineral metal
mnrlet,Essential Trace Minerals,total essential chemical inorganic element mineral metal
mnrlpet,Possibly essential Trace Minerals,total chemical inorganic element mineral metal
mnrlnet,Non-essential Trace Minerals,total chemical inorganic element mineral metal
mnrltx,Toxic Minerals,total chemical inorganic element mineral metal
carot,Carotenes,total carotene carotin photosythetic orange pigment carotenoid
xantp,Xanthophylls,total xanthophyll phylloxanthin yellow pigment carotenoid
cartbeq,β-Carotene equivalents,total provitamin previtamin a beta b carotene carotenoid
vita,Vitamin A,total essential micronutrient vitamin vitamin-a
vit,Vitamins,total essential micronutrient vitamin vitamin vitamin
